Pattern 	pressuring	addictive	covert	deceptive	boring	not interesting	complicated	confusing	inefficient	cluttered	unpredictable	obstructive	annoying	unfriendly	Distractors	Worst Assesment	MEAN	UX KPI
Nagging	-2.26	0.89	0.78	-1.58	-1.26	-1.79	0.41	-0.23	-0.71	-0.71	0.16	-2.08	-1.97	-1.73	non-addictive, revealed	pressuring, obstructive, annoying	-0.86	-0.94
Overcomplicated Process	-0.39	0.63	0.18	-0.61	-0.48	-0.20	-0.83	-1.12	-0.43	-1.20	-0.29	-0.35	-0.57	-0.88		cluttered, confusing, unfriendly	-0.47	-0.57
Hindering Account Deletion	-0.46	-0.30	0.56	-0.76	-0.15	0.03	0.43	0.53	0.43	0.40	0.70	-0.22	-0.44	-0.47		deceptive	0.02	0.18
Sneaking Bad Default	-0.33	1.26	1.49	-0.56	-0.09	0.28	0.98	1.30	0.34	0.95	0.71	-0.11	-0.87	-0.65	revealed, clear, non-addictive	annoying	0.34	0.45
Expectation Result Mismatch	-0.65	0.88	0.06	-1.28	-0.19	-0.24	-0.59	-1.29	-0.34	-1.19	0.03	-0.72	-1.00	-1.36	non-addictive	unfriendly, confusing, deceptive	-0.56	-0.56
False Hierarchy	-2.11	0.86	-0.43	-2.09	-0.86	-0.76	0.44	-0.76	-0.25	0.38	-0.46	-1.17	-1.97	-2.13	non-addictive	unfriendly, pressuring, deceptive	-0.81	-0.56
Trick Wording	-1.29	1.07	-0.15	-1.76	-0.44	-0.06	-0.66	-0.86	-0.23	0.52	-0.91	-1.35	-1.85	-1.82	non-addictive	annoying, unfriendly, deceptive	-0.70	-0.60
Toying With Emotion	-1.93	-0.29	0.25	-1.97	0.00	-0.83	0.53	-0.40	0.03	0.69	0.21	-1.85	-2.15	-2.15		unfriendly, annoying, deceptive	-0.70	-0.42
Forced Access	-1.59	0.29	-0.44	-1.53	-0.58	-0.75	-0.79	-0.90	-0.82	-0.15	-0.95	-1.23	-1.69	-1.44		annoying, pressuring, deceptive	-0.90	-0.85
Gamification	-1.83	-0.88	0.62	-0.83	-0.23	-0.63	1.06	0.61	0.34	-0.10	0.44	-0.55	-0.73	-0.87	easy	pressuring, addictive, unfriendly	-0.25	0.10
Social Pressure	-1.02	-0.28	0.19	-0.31	-0.40	-0.86	1.72	1.16	0.41	0.72	0.61	-0.29	-0.67	-0.60	easy, clear	pressuring, not interesting	0.03	0.29
Social Connector	-1.13	0.21	0.38	-0.89	-0.18	-0.22	0.97	0.44	0.57	0.90	0.03	0.36	-0.73	-0.71	easy, organized	pressuring, deceptive	0.00	0.33
Content Customization	-0.71	0.17	0.87	-0.61	-0.35	-0.16	1.09	0.58	0.03	-0.08	0.42	0.17	-0.06	-0.15	easy, revealed		0.09	0.23
Endlessness	-0.48	-1.47	0.19	-0.82	0.35	0.18	1.46	0.49	0.81	0.22	-0.50	-0.20	0.05	-0.10	easy, efficient	addictive, deceptive	0.01	0.51
Pull To Refresh	-0.04	-1.00	1.11	0.07	0.17	0.63	1.66	0.59	0.97	0.75	-0.28	1.07	0.34	0.80	easy, revealed, supportive	addictive	0.49	0.85